No.,Time,Source,Destination,Protocol,Length,Info,Label
5,0.232846,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
6,0.233033,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
57,5.232958,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
58,5.233147,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
107,10.233083,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
108,10.233297,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
114,10.382094,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
119,10.382391,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
170,15.383294,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
171,15.383569,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
223,20.38347,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
225,20.506384,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
230,20.506646,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
234,20.506806,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
283,25.533202,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
284,25.533382,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
333,30.533328,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
334,30.563667,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
339,30.564032,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
343,30.564249,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
392,35.583622,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
393,35.583776,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
443,40.583706,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
445,40.659217,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
447,40.65935,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
454,40.659564,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
503,45.683612,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
504,45.683772,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
555,50.683655,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
557,50.791087,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
559,50.791255,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
566,50.791496,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
614,55.833825,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
615,55.834011,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
664,60.833818,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
666,60.910343,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
671,60.910529,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
675,60.91075,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
724,65.933974,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
725,65.934173,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
776,70.934034,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
778,71.043834,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
780,71.043971,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
787,71.044265,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
825,75.098651,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
830,75.098966,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
879,80.134221,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
880,80.134433,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
895,81.079189,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
900,81.079516,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
947,86.084239,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
948,86.084432,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1000,91.084296,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1002,91.216609,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1005,91.216771,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1011,91.217089,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
1062,96.234479,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1063,96.234655,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1116,101.234554,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1118,101.320361,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
1123,101.320612,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
